Platform, Player
0, 0
0, -0.1961946
0, -0.3924131
83.33334, -3.6624
4.5636, -3.84148
4.5636, -3.949521
4.5636, -3.97776
4.5636, -4.002156
4.5636, -4.024931
4.5636, -4.050342
4.5636, -4.072697
4.5636, -4.096898
7.063746, -4.118577
7.063746, -4.146248
7.063746, -4.172257
7.063746, -4.195809
7.063746, -4.221861
7.063746, -4.245121
7.063746, -4.271918
4.489183, -4.294844
4.489183, -4.317639
4.489183, -4.342317
4.489183, -4.364897
4.489183, -4.388618
4.489183, -4.411911
4.489183, -4.437387
4.489183, -4.460993
4.489183, -4.483953
5.40626, -4.506931
5.40626, -4.529696
5.40626, -4.556754
5.40626, -4.582965
5.40626, -4.607201
5.40626, -4.628855
5.40626, -4.649904
5.40626, -4.671562
4.796624, -4.695214
4.796624, -4.720551
4.796624, -4.748791
4.796624, -4.771467
4.796624, -4.794665
4.796624, -4.817196
4.796624, -4.84014
4.796624, -4.863652
4.886448, -4.886956
4.886448, -4.913298
4.886448, -4.940947
4.886448, -4.963808
4.886448, -4.988318
4.886448, -5.011643
4.886448, -5.034192
4.886448, -5.063182
5.075872, -5.086154
5.075872, -5.108599
5.075872, 5.040517
5.075872, 5.0184
5.075872, 4.994905
5.075872, 4.969847
5.075872, 4.947513
5.075872, 4.924933
5.033016, 4.900908
5.033016, 4.878253
5.033016, 4.853958
5.033016, 4.830378
5.033016, 4.799451
5.033016, 4.774796
5.033016, 4.746404
4.630423, 4.719194
4.630423, 4.689625
4.630423, 4.655703
4.630423, 4.628036
4.630423, 4.603909
4.630423, 4.578398
4.630423, 4.551029
4.630423, 4.526535
5.572486, 4.500554
5.572486, 4.473698
5.572486, 4.443265
5.572486, 4.417389
5.572486, 4.390464
5.572486, 4.366974
5.572486, 4.339728
4.858255, 4.309926
4.858255, 8.628933
4.858255, 4.252833
4.858255, 4.229212
4.858255, 4.202121
4.858255, 4.173404
4.858255, 4.144763
4.846287, 4.119785
4.846287, 10.86736
4.846287, 4.071839
4.846287, 4.043514
4.846287, 4.016011
4.846287, 3.986943
4.846287, 3.962737
4.846287, 3.935773
5.339193, 3.910248
5.339193, 12.6509
5.339193, 3.859235
5.339193, 3.832115
5.339193, 3.809552
5.339193, 3.787432
5.339193, 3.766088
5.339193, 3.744165
4.87498, 3.718955
4.87498, 14.05209
4.87498, 3.668865
4.87498, 3.644188
